id,year,month,date,cpi,base
CUSR0000SA311,2016,M01,Jan 2016,118.118,118.118
CUSR0000SA311,2016,M02,Feb 2016,119.416,118.118
CUSR0000SA311,2016,M03,Mar 2016,118.578,118.118
CUSR0000SA311,2016,M04,Apr 2016,118.434,118.118
CUSR0000SA311,2016,M05,May 2016,119.651,118.118
CUSR0000SA311,2016,M06,Jun 2016,119.624,118.118
CUSR0000SA311,2016,M07,Jul 2016,119.291,118.118
CUSR0000SA311,2016,M08,Aug 2016,119.109,118.118
CUSR0000SA311,2016,M09,Sep 2016,118.668,118.118
CUSR0000SA311,2016,M10,Oct 2016,118.733,118.118
CUSR0000SA311,2016,M11,Nov 2016,118.752,118.118
CUSR0000SA311,2016,M12,Dec 2016,118.258,118.118
CUSR0000SA311,2017,M01,Jan 2017,119.389,118.118
CUSR0000SA311,2017,M02,Feb 2017,120.235,118.118
CUSR0000SA311,2017,M03,Mar 2017,119.428,118.118
CUSR0000SA311,2017,M04,Apr 2017,118.976,118.118
CUSR0000SA311,2017,M05,May 2017,118.172,118.118
CUSR0000SA311,2017,M06,Jun 2017,118.026,118.118
CUSR0000SA311,2017,M07,Jul 2017,118.258,118.118
CUSR0000SA311,2017,M08,Aug 2017,118.42,118.118
CUSR0000SA311,2017,M09,Sep 2017,118.596,118.118
CUSR0000SA311,2017,M10,Oct 2017,118.523,118.118
CUSR0000SA311,2017,M11,Nov 2017,117.23,118.118
CUSR0000SA311,2017,M12,Dec 2017,116.866,118.118
CUSR0000SA311,2018,M01,Jan 2018,119.201,118.118
CUSR0000SA311,2018,M02,Feb 2018,120.939,118.118
CUSR0000SA311,2018,M03,Mar 2018,119.56,118.118
CUSR0000SA311,2018,M04,Apr 2018,120.293,118.118
CUSR0000SA311,2018,M05,May 2018,120.527,118.118
CUSR0000SA311,2018,M06,Jun 2018,119.342,118.118
CUSR0000SA311,2018,M07,Jul 2018,118.466,118.118
CUSR0000SA311,2018,M08,Aug 2018,116.178,118.118
CUSR0000SA311,2018,M09,Sep 2018,118.029,118.118
CUSR0000SA311,2018,M10,Oct 2018,118.227,118.118
CUSR0000SA311,2018,M11,Nov 2018,116.857,118.118
CUSR0000SA311,2018,M12,Dec 2018,116.887,118.118
CUSR0000SAD,2016,M01,Jan 2016,108.466,108.466
CUSR0000SAD,2016,M02,Feb 2016,108.28,108.466
CUSR0000SAD,2016,M03,Mar 2016,108.118,108.466
CUSR0000SAD,2016,M04,Apr 2016,107.86,108.466
CUSR0000SAD,2016,M05,May 2016,107.541,108.466
CUSR0000SAD,2016,M06,Jun 2016,107.202,108.466
CUSR0000SAD,2016,M07,Jul 2016,107.088,108.466
CUSR0000SAD,2016,M08,Aug 2016,106.899,108.466
CUSR0000SAD,2016,M09,Sep 2016,106.692,108.466
CUSR0000SAD,2016,M10,Oct 2016,106.629,108.466
CUSR0000SAD,2016,M11,Nov 2016,106.413,108.466
CUSR0000SAD,2016,M12,Dec 2016,106.317,108.466
CUSR0000SAD,2017,M01,Jan 2017,106.693,108.466
CUSR0000SAD,2017,M02,Feb 2017,106.236,108.466
CUSR0000SAD,2017,M03,Mar 2017,105.846,108.466
CUSR0000SAD,2017,M04,Apr 2017,105.568,108.466
CUSR0000SAD,2017,M05,May 2017,105.438,108.466
CUSR0000SAD,2017,M06,Jun 2017,105.294,108.466
CUSR0000SAD,2017,M07,Jul 2017,105.019,108.466
CUSR0000SAD,2017,M08,Aug 2017,104.88,108.466
CUSR0000SAD,2017,M09,Sep 2017,104.54,108.466
CUSR0000SAD,2017,M10,Oct 2017,104.387,108.466
CUSR0000SAD,2017,M11,Nov 2017,104.684,108.466
CUSR0000SAD,2017,M12,Dec 2017,104.892,108.466
CUSR0000SAD,2018,M01,Jan 2018,104.97,108.466
CUSR0000SAD,2018,M02,Feb 2018,104.537,108.466
CUSR0000SAD,2018,M03,Mar 2018,104.555,108.466
CUSR0000SAD,2018,M04,Apr 2018,104.073,108.466
CUSR0000SAD,2018,M05,May 2018,103.778,108.466
CUSR0000SAD,2018,M06,Jun 2018,104.022,108.466
CUSR0000SAD,2018,M07,Jul 2018,104.587,108.466
CUSR0000SAD,2018,M08,Aug 2018,104.649,108.466
CUSR0000SAD,2018,M09,Sep 2018,103.851,108.466
CUSR0000SAD,2018,M10,Oct 2018,104.275,108.466
CUSR0000SAD,2018,M11,Nov 2018,104.884,108.466
CUSR0000SAD,2018,M12,Dec 2018,104.979,108.466
CUSR0000SAH3,2016,M01,Jan 2016,122.261,122.261
CUSR0000SAH3,2016,M02,Feb 2016,122.217,122.261
CUSR0000SAH3,2016,M03,Mar 2016,122.094,122.261
CUSR0000SAH3,2016,M04,Apr 2016,121.76,122.261
CUSR0000SAH3,2016,M05,May 2016,121.518,122.261
CUSR0000SAH3,2016,M06,Jun 2016,121.446,122.261
CUSR0000SAH3,2016,M07,Jul 2016,121.548,122.261
CUSR0000SAH3,2016,M08,Aug 2016,121.385,122.261
CUSR0000SAH3,2016,M09,Sep 2016,121.413,122.261
CUSR0000SAH3,2016,M10,Oct 2016,121.45,122.261
CUSR0000SAH3,2016,M11,Nov 2016,121.196,122.261
CUSR0000SAH3,2016,M12,Dec 2016,121.13,122.261
CUSR0000SAH3,2017,M01,Jan 2017,121.323,122.261
CUSR0000SAH3,2017,M02,Feb 2017,121.219,122.261
CUSR0000SAH3,2017,M03,Mar 2017,121.214,122.261
CUSR0000SAH3,2017,M04,Apr 2017,121.05,122.261
CUSR0000SAH3,2017,M05,May 2017,120.939,122.261
CUSR0000SAH3,2017,M06,Jun 2017,120.737,122.261
CUSR0000SAH3,2017,M07,Jul 2017,120.526,122.261
CUSR0000SAH3,2017,M08,Aug 2017,120.585,122.261
CUSR0000SAH3,2017,M09,Sep 2017,120.318,122.261
CUSR0000SAH3,2017,M10,Oct 2017,120.292,122.261
CUSR0000SAH3,2017,M11,Nov 2017,120.215,122.261
CUSR0000SAH3,2017,M12,Dec 2017,120.192,122.261
CUSR0000SAH3,2018,M01,Jan 2018,120.727,122.261
CUSR0000SAH3,2018,M02,Feb 2018,121.088,122.261
CUSR0000SAH3,2018,M03,Mar 2018,121.151,122.261
CUSR0000SAH3,2018,M04,Apr 2018,121.757,122.261
CUSR0000SAH3,2018,M05,May 2018,121.275,122.261
CUSR0000SAH3,2018,M06,Jun 2018,121.12,122.261
CUSR0000SAH3,2018,M07,Jul 2018,121.48,122.261
CUSR0000SAH3,2018,M08,Aug 2018,121.49,122.261
CUSR0000SAH3,2018,M09,Sep 2018,121.696,122.261
CUSR0000SAH3,2018,M10,Oct 2018,122.093,122.261
CUSR0000SAH3,2018,M11,Nov 2018,122.268,122.261
CUSR0000SAH3,2018,M12,Dec 2018,122.688,122.261
CUSR0000SEAE,2016,M01,Jan 2016,137.118,137.118
CUSR0000SEAE,2016,M02,Feb 2016,139.132,137.118
CUSR0000SEAE,2016,M03,Mar 2016,137.669,137.118
CUSR0000SEAE,2016,M04,Apr 2016,137.629,137.118
CUSR0000SEAE,2016,M05,May 2016,137.384,137.118
CUSR0000SEAE,2016,M06,Jun 2016,135.298,137.118
CUSR0000SEAE,2016,M07,Jul 2016,135.512,137.118
CUSR0000SEAE,2016,M08,Aug 2016,137.291,137.118
CUSR0000SEAE,2016,M09,Sep 2016,136.933,137.118
CUSR0000SEAE,2016,M10,Oct 2016,138.079,137.118
CUSR0000SEAE,2016,M11,Nov 2016,137.803,137.118
CUSR0000SEAE,2016,M12,Dec 2016,138.113,137.118
CUSR0000SEAE,2017,M01,Jan 2017,138.304,137.118
CUSR0000SEAE,2017,M02,Feb 2017,137.542,137.118
CUSR0000SEAE,2017,M03,Mar 2017,137.699,137.118
CUSR0000SEAE,2017,M04,Apr 2017,138.111,137.118
CUSR0000SEAE,2017,M05,May 2017,137.462,137.118
CUSR0000SEAE,2017,M06,Jun 2017,137.79,137.118
CUSR0000SEAE,2017,M07,Jul 2017,136.768,137.118
CUSR0000SEAE,2017,M08,Aug 2017,136.212,137.118
CUSR0000SEAE,2017,M09,Sep 2017,135.882,137.118
CUSR0000SEAE,2017,M10,Oct 2017,135.205,137.118
CUSR0000SEAE,2017,M11,Nov 2017,134.966,137.118
CUSR0000SEAE,2017,M12,Dec 2017,134.537,137.118
CUSR0000SEAE,2018,M01,Jan 2018,135.141,137.118
CUSR0000SEAE,2018,M02,Feb 2018,137.124,137.118
CUSR0000SEAE,2018,M03,Mar 2018,138.818,137.118
CUSR0000SEAE,2018,M04,Apr 2018,137.517,137.118
CUSR0000SEAE,2018,M05,May 2018,136.553,137.118
CUSR0000SEAE,2018,M06,Jun 2018,135.953,137.118
CUSR0000SEAE,2018,M07,Jul 2018,137.402,137.118
CUSR0000SEAE,2018,M08,Aug 2018,136.606,137.118
CUSR0000SEAE,2018,M09,Sep 2018,134.732,137.118
CUSR0000SEAE,2018,M10,Oct 2018,134.262,137.118
CUSR0000SEAE,2018,M11,Nov 2018,134.339,137.118
CUSR0000SEAE,2018,M12,Dec 2018,134.389,137.118
CUSR0000SEHK,2016,M01,Jan 2016,78.132,78.132
CUSR0000SEHK,2016,M02,Feb 2016,77.822,78.132
CUSR0000SEHK,2016,M03,Mar 2016,77.281,78.132
CUSR0000SEHK,2016,M04,Apr 2016,77.055,78.132
CUSR0000SEHK,2016,M05,May 2016,77.195,78.132
CUSR0000SEHK,2016,M06,Jun 2016,77.113,78.132
CUSR0000SEHK,2016,M07,Jul 2016,76.896,78.132
CUSR0000SEHK,2016,M08,Aug 2016,76.391,78.132
CUSR0000SEHK,2016,M09,Sep 2016,75.815,78.132
CUSR0000SEHK,2016,M10,Oct 2016,75.426,78.132
CUSR0000SEHK,2016,M11,Nov 2016,75.081,78.132
CUSR0000SEHK,2016,M12,Dec 2016,74.839,78.132
CUSR0000SEHK,2017,M01,Jan 2017,74.784,78.132
CUSR0000SEHK,2017,M02,Feb 2017,74.956,78.132
CUSR0000SEHK,2017,M03,Mar 2017,75.208,78.132
CUSR0000SEHK,2017,M04,Apr 2017,74.91,78.132
CUSR0000SEHK,2017,M05,May 2017,75.386,78.132
CUSR0000SEHK,2017,M06,Jun 2017,74.503,78.132
CUSR0000SEHK,2017,M07,Jul 2017,74.355,78.132
